Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-08-25 19:36:40,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,UDP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,49075,16
2024-08-25 19:36:40,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,UDP,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,6122282,15
2024-08-25 19:36:41,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,UDP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,55270,15
2024-08-25 19:36:41,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80b::200a,UDP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,95,16
2024-08-25 19:36:41,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,UDP,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,7285373,16
2024-08-25 19:36:41,2a00:1450:4016:80b::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,UDP,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,141,16
2024-08-25 19:36:42,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2600:9000:2260:3600:a:c74f:2dc0:93a1,TCP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,74,17
2024-08-25 19:36:42,2600:9000:2260:3600:a:c74f:2dc0:93a1,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,TCP,GB,England,London,"AS16509 Amazon.com, Inc.",-0.1257,51.5085,Cable,86,15
2024-08-25 19:36:43,192.168.178.20,35.186.224.45,TCP,DE,Bavaria,Munich,Deutsche Telekom,48.12979433960958,11.583302258050129,Cable,66,16
2024-08-25 19:36:43,192.168.178.20,35.186.224.45,TLSv1.2,DE,Bavaria,Munich,Deutsche Telekom,48.12979433960958,11.583302258050129,Cable,94,16
2024-08-25 19:36:43,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4001:80e::2003,UDP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,370,16
2024-08-25 19:36:43,2a00:1450:4001:80e::2003,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,UDP,DE,Hesse,Frankfurt am Main,AS15169 Google LLC,8.6842,50.1155,Cable,359,16
2024-08-25 19:36:43,35.186.224.45,192.168.178.20,TLSv1.2,US,Missouri,Kansas City,AS15169 Google LLC,-94.5786,39.0997,Cable,90,17
2024-08-25 19:36:44,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4001:80e::2003,UDP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,354,16
2024-08-25 19:36:44,2a00:1450:4001:80e::2003,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,UDP,DE,Hesse,Frankfurt am Main,AS15169 Google LLC,8.6842,50.1155,Cable,441,16
2024-08-25 19:36:48,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4001:827::2016,UDP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,1632,15
2024-08-25 19:36:48,2a00:1450:4001:827::2016,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,UDP,DE,Hesse,Frankfurt am Main,AS15169 Google LLC,8.6842,50.1155,Cable,117205,16
2024-08-25 19:36:49,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2606:4700:4400::ac40:9bd1,TCP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,74,16
2024-08-25 19:36:49,2606:4700:4400::ac40:9bd1,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,TCP,US,California,San Francisco,"AS13335 Cloudflare, Inc.",-122.3971,37.7621,Cable,86,17
2024-08-25 19:36:50,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80a::200e,UDP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,1171,16
2024-08-25 19:36:50,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80b::200a,UDP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,190,16
2024-08-25 19:36:50,2a00:1450:4016:80b::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,UDP,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,284,15
2024-08-25 19:36:51,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80a::200e,UDP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,291,16
2024-08-25 19:36:51,2a00:1450:4016:80a::200e,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,UDP,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,401,16
