Time,Length,ARTT,Status
2024-06-26 16:10:56,60,46,1
2024-06-26 16:10:57,160,31,0
2024-06-26 16:10:57,1128,28,0
2024-06-26 16:10:57,168,34,0
2024-06-26 16:10:57,6181,62,1
2024-06-26 16:10:59,220,29,0
2024-06-26 16:10:59,2866,43,0
2024-06-26 16:10:59,1280,45,0
2024-06-26 16:10:59,13357,47,1
2024-06-26 16:10:59,340,46,1
2024-06-26 16:10:59,1818,82,1
2024-06-26 16:10:59,248,43,0
2024-06-26 16:10:59,7520,43,0
2024-06-26 16:10:59,44224,26,0
2024-06-26 16:10:59,31199,26,0
2024-06-26 16:10:59,1624,61,1
2024-06-26 16:10:59,5282,61,1
2024-06-26 16:11:00,8360,44,0
2024-06-26 16:11:00,8554,45,0
2024-06-26 16:11:00,180,60,1
2024-06-26 16:11:00,6365,57,1
2024-06-26 16:11:00,80,42,0
2024-06-26 16:11:00,1428,21,0
2024-06-26 16:11:00,200,52,1
2024-06-26 16:11:00,13721,72,1
2024-06-26 16:11:00,740,37,0
2024-06-26 16:11:00,3465,41,0
2024-06-26 16:11:00,946758,56,1
2024-06-26 16:11:00,886231,56,1
2024-06-26 16:11:00,288,31,0
2024-06-26 16:11:00,5846,65,1
2024-06-26 16:11:00,80,43,0
2024-06-26 16:11:00,870,43,0
2024-06-26 16:11:00,9886,26,0
2024-06-26 16:11:00,22226,26,0
2024-06-26 16:11:00,1144,32,0
2024-06-26 16:11:00,20485,32,0
2024-06-26 16:11:01,3040,43,0
2024-06-26 16:11:01,1574,47,1
2024-06-26 16:11:01,2080,38,0
2024-06-26 16:11:01,3067,35,0
2024-06-26 16:11:01,80,54,1
2024-06-26 16:11:01,120,28,0
2024-06-26 16:11:01,8475,38,0
2024-06-26 16:11:01,724,35,0
2024-06-26 16:11:01,423247,56,1
2024-06-26 16:11:01,582159,56,1
2024-06-26 16:11:01,195686,46,1
2024-06-26 16:11:01,159024,46,1
2024-06-26 16:11:01,271,62,1
2024-06-26 16:11:01,4334,26,0
2024-06-26 16:11:01,10470,26,0
2024-06-26 16:11:01,3264,59,1
2024-06-26 16:11:02,9080,38,0
2024-06-26 16:11:02,11172,40,0
2024-06-26 16:11:02,1137,35,0
2024-06-26 16:11:02,40,37,0
2024-06-26 16:11:02,40,37,0
2024-06-26 16:11:02,64,24,0
2024-06-26 16:11:02,1522219,46,1
2024-06-26 16:11:02,1660645,46,1
2024-06-26 16:11:02,40,26,0
2024-06-26 16:11:02,312,23,0
2024-06-26 16:11:02,80,61,1
2024-06-26 16:11:03,40,24,0
2024-06-26 16:11:03,64,42,0
2024-06-26 16:11:03,13680,39,0
2024-06-26 16:11:03,7880,43,0
2024-06-26 16:11:03,40,49,1
2024-06-26 16:11:03,64,29,0
2024-06-26 16:11:03,320,70,1
2024-06-26 16:11:03,8179,45,0
2024-06-26 16:11:03,180,35,0
2024-06-26 16:11:03,5006,47,1
2024-06-26 16:11:03,11620,44,0
2024-06-26 16:11:03,1415,50,1
2024-06-26 16:11:03,120,56,1
2024-06-26 16:11:03,2458750,46,1
2024-06-26 16:11:03,3449017,46,1
2024-06-26 16:11:03,80,43,0
2024-06-26 16:11:03,11344,26,0
2024-06-26 16:11:03,32040,26,0
2024-06-26 16:11:03,568,19,0
2024-06-26 16:11:03,10500,19,0
2024-06-26 16:11:03,995134,29,0
2024-06-26 16:11:03,1181913,29,0
2024-06-26 16:11:04,40,41,0
2024-06-26 16:11:04,64,23,0
2024-06-26 16:11:04,11760,44,0
2024-06-26 16:11:04,8668,41,0
2024-06-26 16:11:04,80,28,0
2024-06-26 16:11:04,5530,33,0
2024-06-26 16:11:04,440,55,1
