Tempo_Segundos,Vazao_Bytes_sec,Densidade_Pkts_sec,Jitter,Tempo_Ocioso,Tempo_Ativo,Tamanho_Medio_Pkt
0,2376,17,0.087409,0.8913,0.1087,139.76
1,2139,13,0.073426,0.7423,0.2577,164.54
2,773,6,0.220201,0.7533,0.2467,128.83
3,8317,31,0.049196,0.761,0.239,268.29
4,1973,17,0.065613,0.7356,0.2644,116.06
5,3154,16,0.079605,0.4629,0.5371,197.12
6,7728,34,0.035111,0.7085,0.2915,227.29
7,13994,35,0.050627,0.628,0.372,399.83
8,4212,21,0.075472,0.7843,0.2157,200.57
9,2303,15,0.065805,0.6407,0.3593,153.53
10,132950,263,0.014552,0.2645,0.7355,505.51
11,15960,43,0.067529,0.7984,0.2016,371.16
12,3467,25,0.047543,0.8353,0.1647,138.68
13,4113,20,0.076281,0.7558,0.2442,205.65
14,685830,724,0.008709,0.3765,0.6235,947.28
15,1560367,1661,0.001991,0.0,1.0,939.41
16,2153156,1893,0.005577,0.4803,0.5197,1137.43
17,2365120,2353,0.001989,0.0,1.0,1005.15
18,689916,796,0.004782,0.0732,0.9268,866.73
19,75368,168,0.011316,0.1913,0.8087,448.62
20,2673043,2440,0.00243,0.0,1.0,1095.51
21,1790219,1749,0.002639,0.0,1.0,1023.57
22,9669,34,0.04244,0.5431,0.4569,284.38
23,7808,37,0.049394,0.6783,0.3217,211.03
24,7647,27,0.049835,0.7352,0.2648,283.22
25,8543631,7406,0.002036,0.3442,0.6558,1153.61
26,2338,14,0.073861,0.6709,0.3291,167.0
27,857170,786,0.008332,0.4419,0.5581,1090.55
28,8098,27,0.056408,0.7267,0.2733,299.93
29,1542,13,0.068908,0.9191,0.0809,118.62
30,948983,849,0.01289,0.6648,0.3352,1117.77
31,6274,24,0.063908,0.6223,0.3777,261.42
32,7751,24,0.09326,0.7826,0.2174,322.96
33,3858,19,0.051948,0.9645,0.0355,203.05
34,393624,367,0.013842,0.7379,0.2621,1072.54
35,1612,8,0.070289,0.3669,0.6331,201.5
36,11182,36,0.053615,0.7558,0.2442,310.61
37,2672,19,0.047111,0.7308,0.2692,140.63
38,1478,13,0.05888,0.8943,0.1057,113.69
39,2169,12,0.131531,0.8252,0.1748,180.75
40,7936,34,0.040305,0.6637,0.3363,233.41
41,2250,13,0.06767,0.8072,0.1928,173.08
42,1542,13,0.079298,0.9203,0.0797,118.62
43,3183,13,0.096322,0.8589,0.1411,244.85
44,5459,39,0.036377,0.5845,0.4155,139.97
45,6337,16,0.154428,0.7956,0.2044,396.06
46,18976,53,0.023094,0.2547,0.7453,358.04
47,2292,21,0.047582,0.6152,0.3848,109.14
48,2023,12,0.046177,0.3738,0.6262,168.58
49,19584,42,0.015605,0.1176,0.8824,466.29
50,1452,13,0.10026,0.8513,0.1487,111.69
51,10908,36,0.018284,0.1821,0.8179,303.0
52,2105,12,0.062922,0.6029,0.3971,175.42
53,1690,14,0.058441,0.5886,0.4114,120.71
54,1761,9,0.129666,0.4567,0.5433,195.67
55,8906,37,0.039581,0.6709,0.3291,240.7
56,80947,117,0.031592,0.7426,0.2574,691.85
57,142469,260,0.012434,0.3056,0.6944,547.96
58,25873,48,0.033645,0.4591,0.5409,539.02
59,857,6,0.182161,0.8155,0.1845,142.83
60,9745,33,0.050653,0.8931,0.1069,295.3
61,3744,30,0.067873,0.6768,0.3232,124.8
62,2904818,2602,0.001847,0.085,0.915,1116.38
63,2205,18,0.090229,0.7934,0.2066,122.5
64,6402,16,0.183891,0.8562,0.1438,400.12
65,1674,13,0.084511,0.8318,0.1682,128.77
66,4146660,3653,0.002585,0.2533,0.7467,1135.14
67,1170948,1043,0.014222,0.6482,0.3518,1122.67
68,8424,35,0.045935,0.7863,0.2137,240.69
69,2114,17,0.052486,0.8541,0.1459,124.35
70,2583,17,0.056378,0.7608,0.2392,151.94
71,1455,13,0.079789,0.8809,0.1191,111.92
72,6841,24,0.064082,0.6399,0.3601,285.04
