"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","142.251.0.109","192.168.0.3","TLSv1.2","311","Application Data"
"2","0.000131310","192.168.0.3","142.251.0.109","TLSv1.2","100","Application Data"
"3","0.102771339","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"4","0.105737751","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"5","0.107048197","142.251.0.109","192.168.0.3","TCP","66","465  >  47046 [ACK] Seq=246 Ack=35 Win=1050 Len=0 TSval=2450580222 TSecr=2822360224"
"6","0.111409626","2800:3f0:4004:813::200a","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","UDP","337","443  >  60152 Len=275"
"7","0.136945374","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:813::200a","UDP","95","60152  >  443 Len=33"
"8","0.167651602","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"9","0.275439428","142.251.0.109","192.168.0.3","TLSv1.2","94","Application Data"
"10","0.275551322","192.168.0.3","142.251.0.109","TLSv1.2","142","Application Data"
"11","0.383072039","142.251.0.109","192.168.0.3","TCP","66","465  >  47046 [ACK] Seq=274 Ack=111 Win=1050 Len=0 TSval=2450580498 TSecr=2822360499"
"12","0.721286630","142.251.0.109","192.168.0.3","TLSv1.2","108","Application Data"
"13","0.721384967","192.168.0.3","142.251.0.109","TLSv1.2","121","Application Data"
"14","0.786740255","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"15","0.829063986","142.251.0.109","192.168.0.3","TCP","66","465  >  47046 [ACK] Seq=316 Ack=166 Win=1050 Len=0 TSval=2450580944 TSecr=2822360945"
"16","0.998844153","142.251.0.109","192.168.0.3","TLSv1.2","151","Application Data"
"17","0.998957419","192.168.0.3","142.251.0.109","TLSv1.2","119","Application Data"
"18","1.102505889","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"19","1.104741237","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"20","1.106087853","142.251.0.109","192.168.0.3","TCP","66","465  >  47046 [ACK] Seq=401 Ack=219 Win=1050 Len=0 TSval=2450581221 TSecr=2822361223"
"21","1.167580722","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"22","1.275213724","142.251.0.109","192.168.0.3","TLSv1.2","151","Application Data"
"23","1.275331518","192.168.0.3","142.251.0.109","TLSv1.2","94","Application Data"
"24","1.383117240","142.251.0.109","192.168.0.3","TCP","66","465  >  47046 [ACK] Seq=486 Ack=247 Win=1050 Len=0 TSval=2450581498 TSecr=2822361499"
"25","1.498742277","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"26","1.742794269","142.251.0.109","192.168.0.3","TLSv1.2","151","Application Data"
"27","1.742924628","192.168.0.3","142.251.0.109","TLSv1.2","786","Application Data"
"28","1.742953182","192.168.0.3","142.251.0.109","TLSv1.2","93","Application Data"
"29","1.848661978","142.251.0.109","192.168.0.3","TCP","66","465  >  47046 [ACK] Seq=571 Ack=967 Win=1048 Len=0 TSval=2450581963 TSecr=2822361967"
