Time,Length,ARTT,Status
2024-07-07 08:00:36,140,31,0
2024-07-07 08:00:36,3650,28,0
2024-07-07 08:00:36,208,37,0
2024-07-07 08:00:36,4952,37,0
2024-07-07 08:00:37,400,33,0
2024-07-07 08:00:37,14632,31,0
2024-07-07 08:00:37,280,37,0
2024-07-07 08:00:37,9590,37,0
2024-07-07 08:00:38,240,30,0
2024-07-07 08:00:38,4749,34,0
2024-07-07 08:00:38,320,37,0
2024-07-07 08:00:38,3490,37,0
2024-07-07 08:00:39,200,28,0
2024-07-07 08:00:39,2963,32,0
2024-07-07 08:00:39,1578,37,0
2024-07-07 08:00:39,18346,37,0
2024-07-07 08:00:43,5400,31,0
2024-07-07 08:00:43,7192,32,0
2024-07-07 08:00:43,400,28,0
2024-07-07 08:00:43,7445,32,0
2024-07-07 08:00:43,504338,38,0
2024-07-07 08:00:43,567944,38,0
2024-07-07 08:00:43,6032,37,0
2024-07-07 08:00:43,22327,37,0
2024-07-07 08:00:44,14120,32,0
2024-07-07 08:00:44,7910,29,0
2024-07-07 08:00:44,1646460,38,0
2024-07-07 08:00:44,2299293,38,0
2024-07-07 08:00:45,4000,33,0
2024-07-07 08:00:45,2260,33,0
2024-07-07 08:00:45,756854,38,0
2024-07-07 08:00:45,951840,38,0
2024-07-07 08:00:51,360,29,0
2024-07-07 08:00:51,8757,33,0
2024-07-07 08:00:51,11818,37,0
2024-07-07 08:00:51,47455,37,0
2024-07-07 08:00:52,100,28,0
2024-07-07 08:00:52,557,27,0
2024-07-07 08:00:52,9620,33,0
2024-07-07 08:00:52,2168,36,0
2024-07-07 08:00:52,200,33,0
2024-07-07 08:00:52,2850,28,0
2024-07-07 08:00:52,1360,31,0
2024-07-07 08:00:52,2069,32,0
2024-07-07 08:00:52,88,40,0
2024-07-07 08:00:52,804414,31,0
2024-07-07 08:00:52,1013458,33,0
2024-07-07 08:00:52,80,37,0
2024-07-07 08:00:52,3195,37,0
2024-07-07 08:00:52,57175,70,1
2024-07-07 08:00:52,106914,70,1
2024-07-07 08:00:53,11800,32,0
2024-07-07 08:00:53,3120,32,0
2024-07-07 08:00:53,800,31,0
2024-07-07 08:00:53,748,27,0
2024-07-07 08:00:53,2214140,40,0
2024-07-07 08:00:53,2652462,40,0
2024-07-07 08:00:53,54386,70,1
2024-07-07 08:00:53,105186,70,1
2024-07-07 08:00:54,12400,33,0
2024-07-07 08:00:54,3022,34,0
2024-07-07 08:00:54,1000,31,0
2024-07-07 08:00:54,750,27,0
2024-07-07 08:00:54,2345444,40,0
2024-07-07 08:00:54,2896373,40,0
2024-07-07 08:00:54,70058,70,1
2024-07-07 08:00:54,91236,70,1
2024-07-07 08:00:55,11500,32,0
2024-07-07 08:00:55,3042,36,0
2024-07-07 08:00:55,1400,31,0
2024-07-07 08:00:55,1494,27,0
2024-07-07 08:00:55,1723438,40,0
2024-07-07 08:00:55,2247687,40,0
2024-07-07 08:00:55,134510,70,1
2024-07-07 08:00:55,216354,70,1
2024-07-07 08:00:56,10760,32,0
2024-07-07 08:00:56,3000,29,0
2024-07-07 08:00:56,360,35,0
2024-07-07 08:00:56,746,42,0
2024-07-07 08:00:56,2126968,40,0
2024-07-07 08:00:56,2783739,40,0
2024-07-07 08:00:56,56940,70,1
2024-07-07 08:00:56,79022,70,1
2024-07-07 08:00:57,11600,33,0
2024-07-07 08:00:57,2255,29,0
2024-07-07 08:00:57,1400,31,0
2024-07-07 08:00:57,1492,54,1
2024-07-07 08:00:57,2305473,40,0
2024-07-07 08:00:57,2959084,40,0
2024-07-07 08:00:57,128438,70,1
2024-07-07 08:00:57,155609,70,1
2024-07-07 08:00:58,14000,32,0
2024-07-07 08:00:58,2258,27,0
2024-07-07 08:00:58,2770660,40,0
2024-07-07 08:00:58,3389199,40,0
2024-07-07 08:00:59,14320,31,0
2024-07-07 08:00:59,3014,35,0
2024-07-07 08:00:59,680,38,0
2024-07-07 08:00:59,1494,46,1
2024-07-07 08:00:59,2744652,40,0
2024-07-07 08:00:59,3624611,40,0
2024-07-07 08:00:59,55288,70,1
2024-07-07 08:00:59,83385,70,1
2024-07-07 08:01:00,15600,32,0
2024-07-07 08:01:00,756,28,0
2024-07-07 08:01:00,600,32,0
2024-07-07 08:01:00,3122424,40,0
2024-07-07 08:01:00,4079502,40,0
2024-07-07 08:01:00,50000,70,1
2024-07-07 08:01:00,93906,70,1
2024-07-07 08:01:01,14240,33,0
2024-07-07 08:01:01,2262,29,0
2024-07-07 08:01:01,800,31,0
2024-07-07 08:01:01,748,46,1
2024-07-07 08:01:01,2740506,40,0
2024-07-07 08:01:01,3700974,40,0
2024-07-07 08:01:01,80404,70,1
2024-07-07 08:01:01,98018,70,1
2024-07-07 08:01:02,15120,31,0
2024-07-07 08:01:02,2263,28,0
2024-07-07 08:01:02,2918102,40,0
2024-07-07 08:01:02,3887790,40,0
2024-07-07 08:01:03,11360,32,0
2024-07-07 08:01:03,3018,28,0
2024-07-07 08:01:03,720,32,0
2024-07-07 08:01:03,751,31,0
2024-07-07 08:01:03,2308060,40,0
2024-07-07 08:01:03,2995722,40,0
2024-07-07 08:01:03,69614,70,1
2024-07-07 08:01:03,99282,70,1
2024-07-07 08:01:04,16000,32,0
2024-07-07 08:01:04,1510,28,0
2024-07-07 08:01:04,640,31,0
2024-07-07 08:01:04,751,31,0
2024-07-07 08:01:04,3272836,40,0
2024-07-07 08:01:04,4363136,40,0
2024-07-07 08:01:04,47568,70,1
2024-07-07 08:01:04,89586,70,1
2024-07-07 08:01:05,16600,33,0
2024-07-07 08:01:05,2261,33,0
2024-07-07 08:01:05,3438254,40,0
2024-07-07 08:01:05,4432567,40,0
2024-07-07 08:01:06,11640,32,0
2024-07-07 08:01:06,3020,27,0
2024-07-07 08:01:06,800,36,0
2024-07-07 08:01:06,751,62,1
2024-07-07 08:01:06,2227892,40,0
2024-07-07 08:01:06,2986606,40,0
2024-07-07 08:01:06,65682,70,1
2024-07-07 08:01:06,89072,70,1
2024-07-07 08:01:07,16440,32,0
2024-07-07 08:01:07,1506,30,0
2024-07-07 08:01:07,3218600,40,0
2024-07-07 08:01:07,4229565,40,0
2024-07-07 08:01:08,13120,32,0
2024-07-07 08:01:08,2259,27,0
2024-07-07 08:01:08,760,34,0
2024-07-07 08:01:08,749,31,0
2024-07-07 08:01:08,2539168,40,0
2024-07-07 08:01:08,3266657,40,0
2024-07-07 08:01:08,79818,70,1
2024-07-07 08:01:08,114550,70,1
2024-07-07 08:01:09,18640,32,0
2024-07-07 08:01:09,1512,28,0
2024-07-07 08:01:09,3564698,40,0
2024-07-07 08:01:09,4644771,40,0
2024-07-07 08:01:10,21440,33,0
2024-07-07 08:01:10,756,62,1
2024-07-07 08:01:10,600,28,0
2024-07-07 08:01:10,751,27,0
2024-07-07 08:01:10,4305892,40,0
2024-07-07 08:01:10,5542135,40,0
2024-07-07 08:01:10,43942,70,1
2024-07-07 08:01:10,92681,70,1
2024-07-07 08:01:11,17400,33,0
2024-07-07 08:01:11,1514,28,0
2024-07-07 08:01:11,3413316,40,0
2024-07-07 08:01:11,4430464,40,0
2024-07-07 08:01:12,19080,32,0
2024-07-07 08:01:12,1512,30,0
2024-07-07 08:01:12,720,30,0
2024-07-07 08:01:12,751,62,1
2024-07-07 08:01:12,3767202,40,0
